entity_id	state	friendly_name	device_class
input_boolean.leonardo_auto_living_room	on	Leonardo auto living_room	-
input_boolean.leonardo_auto_office	on	Leonardo auto office	-
input_boolean.someone_at_home	on	Someone at Home	-
input_button.leonardo_mark_emptied	2026-05-12T18:00:24.283184+00:00	Leonardo mark emptied	-
input_number.leonardo_area_at_last_empty	24386.2	Leonardo area at last empty	-
input_number.leonardo_empty_threshold	150.0	Leonardo empty threshold	-
input_number.leonardo_trash_x	32438.0	Leonardo trash X	-
input_number.leonardo_trash_y	26347.0	Leonardo trash Y	-
input_number.max_auto_brightness	175.0	max auto brightness 	-
light.ikea_of_sweden_tradfri_bulb_e14_ws_470lm	on	light_bulb_03	-
light.ikea_of_sweden_tradfri_bulb_e14_ws_470lm_2	on	light_bulb_04	-
light.ikea_of_sweden_tradfribulbe27wsglobeopal1055lm	off	light_boulb_02	-
light.light_auto	on	Light Auto	-
light.light_bulb_01	on	light_bulb_01	-
light.livingroom_lights	on	Livingroom lights	-
light.office_lights	on	Office lights	-
media_player.test	off	Test	speaker
media_player.test_2	off	Test	speaker
media_player.vardagsrum_cast	off	Vardagsrum Cast	-
media_player.vardagsrum_cast_2	idle	Vardagsrum Cast	speaker
media_player.vardagsrumtv	unavailable	VardagsrumTV	tv
media_player.vardagsrumtv_2	idle	VardagsrumTV	speaker
notify.cph2581	2026-07-30T12:37:23.884241+00:00	CPH2581	-
notify.iphone	2026-07-30T12:37:24.598921+00:00	iPhone	-
notify.sm_x920	2026-07-30T12:37:24.303269+00:00	SM-X920	-
number.balcony_balcony_temperature_offset	unknown	Balcony Temperature offset	temperature_delta
number.ikea_of_sweden_tradfri_bulb_e14_ws_470lm_on_level	255	light_bulb_03 On level	-
number.ikea_of_sweden_tradfri_bulb_e14_ws_470lm_on_level_2	255	light_bulb_04 On level	-
number.ikea_of_sweden_tradfri_bulb_e14_ws_470lm_on_off_transition_time	5	light_bulb_03 On/Off transition time	-
number.ikea_of_sweden_tradfri_bulb_e14_ws_470lm_on_off_transition_time_2	5	light_bulb_04 On/Off transition time	-
number.ikea_of_sweden_tradfri_bulb_e14_ws_470lm_power_on_level	255	light_bulb_03 Power-on level	-
number.ikea_of_sweden_tradfri_bulb_e14_ws_470lm_power_on_level_2	255	light_bulb_04 Power-on level	-
number.ikea_of_sweden_tradfri_bulb_e14_ws_470lm_start_up_color_temperature	65535	light_bulb_03 Start-up color temperature	-
number.ikea_of_sweden_tradfri_bulb_e14_ws_470lm_start_up_color_temperature_2	65535	light_bulb_04 Start-up color temperature	-
number.ikea_of_sweden_tradfribulbe27wsglobeopal1055lm_on_level	255	light_boulb_02 On level	-
number.ikea_of_sweden_tradfribulbe27wsglobeopal1055lm_on_off_transition_time	5	light_boulb_02 On/Off transition time	-
number.ikea_of_sweden_tradfribulbe27wsglobeopal1055lm_power_on_level	255	light_boulb_02 Power-on level	-
number.ikea_of_sweden_tradfribulbe27wsglobeopal1055lm_start_up_color_temperature	65535	light_boulb_02 Start-up color temperature	-
number.leonardo_volume	55.0	Leonardo Volume	-
number.light_bulb_01_on_level	255	light_bulb_01 On level	-
number.light_bulb_01_on_off_transition_time	5	light_bulb_01 On/Off transition time	-
number.light_bulb_01_power_on_level	255	light_bulb_01 Power-on level	-
number.light_bulb_01_start_up_color_temperature	65535	light_bulb_01 Start-up color temperature	-
number.sonoff_snzb_02d_comfort_humidity_max	60.0	temp_hum_01 Comfort humidity max	humidity
number.sonoff_snzb_02d_comfort_humidity_max_2	60.0	SONOFF SNZB-02D Comfort humidity max	humidity
number.sonoff_snzb_02d_comfort_humidity_max_3	60.0	SONOFF SNZB-02D Comfort humidity max	humidity
number.sonoff_snzb_02d_comfort_humidity_min	40.0	temp_hum_01 Comfort humidity min	humidity
number.sonoff_snzb_02d_comfort_humidity_min_2	40.0	SONOFF SNZB-02D Comfort humidity min	humidity
number.sonoff_snzb_02d_comfort_humidity_min_3	40.0	SONOFF SNZB-02D Comfort humidity min	humidity
number.sonoff_snzb_02d_comfort_temperature_max	27.0	temp_hum_01 Comfort temperature max	temperature
number.sonoff_snzb_02d_comfort_temperature_max_2	27.0	SONOFF SNZB-02D Comfort temperature max	temperature
number.sonoff_snzb_02d_comfort_temperature_max_3	27.0	SONOFF SNZB-02D Comfort temperature max	temperature
number.sonoff_snzb_02d_comfort_temperature_min	19.0	temp_hum_01 Comfort temperature min	temperature
number.sonoff_snzb_02d_comfort_temperature_min_2	19.0	SONOFF SNZB-02D Comfort temperature min	temperature
number.sonoff_snzb_02d_comfort_temperature_min_3	19.0	SONOFF SNZB-02D Comfort temperature min	temperature
number.sonoff_snzb_02d_humidity_offset	0.0	temp_hum_01 Humidity offset	humidity
number.sonoff_snzb_02d_humidity_offset_2	0.0	SONOFF SNZB-02D Humidity offset	humidity
number.sonoff_snzb_02d_humidity_offset_3	0.0	SONOFF SNZB-02D Humidity offset	humidity
number.sonoff_snzb_02d_temperature_offset	0.0	temp_hum_01 Temperature offset	temperature_delta
number.sonoff_snzb_02d_temperature_offset_2	0.0	SONOFF SNZB-02D Temperature offset	temperature_delta
number.sonoff_snzb_02d_temperature_offset_3	0.0	SONOFF SNZB-02D Temperature offset	temperature_delta
person.hanna	home	Hanna	-
person.mattias	home	Mattias	-
scene.all_off	2026-07-25T21:46:59.159245+00:00	All off	-
scene.bright	2026-07-25T17:25:58.139184+00:00	Bright	-
scene.evening	2026-05-31T17:47:59.631981+00:00	Evening	-
scene.movie	2026-07-29T20:50:07.166181+00:00	Movie	-
script.leonardo_clean_enabled_rooms	off	Leonardo: Clean enabled rooms	-
select.balcony_balcony_display_unit	Celsius	Balcony Display unit	-
select.ikea_of_sweden_tradfri_bulb_e14_ws_470lm_power_on_behavior	On	light_bulb_03 Power-on behavior	-
select.ikea_of_sweden_tradfri_bulb_e14_ws_470lm_power_on_behavior_2	On	light_bulb_04 Power-on behavior	-
select.ikea_of_sweden_tradfribulbe27wsglobeopal1055lm_power_on_behavior	On	light_boulb_02 Power-on behavior	-
select.leonardo_mop_intensity	intense	Leonardo Mop intensity	-
select.leonardo_mop_mode	standard	Leonardo Mop mode	-
select.leonardo_selected_map	Map 0	Leonardo Selected map	-
select.light_bulb_01_power_on_behavior	On	light_bulb_01 Power-on behavior	-
select.sonoff_snzb_02d_display_unit	Celsius	temp_hum_01 Display unit	-
select.sonoff_snzb_02d_display_unit_2	Celsius	SONOFF SNZB-02D Display unit	-
select.sonoff_snzb_02d_display_unit_3	Celsius	SONOFF SNZB-02D Display unit	-
sensor.backup_backup_manager_state	idle	Backup Backup Manager state	enum
sensor.backup_last_attempted_automatic_backup	2026-07-30T03:38:41+00:00	Backup Last attempted automatic backup	timestamp
sensor.backup_last_successful_automatic_backup	2026-07-30T03:38:43+00:00	Backup Last successful automatic backup	timestamp
sensor.backup_next_scheduled_automatic_backup	2026-07-31T03:17:32+00:00	Backup Next scheduled automatic backup	timestamp
sensor.brightness	0	brightness	-
sensor.cph2581_battery_level	60	CPH2581 Battery level	battery
sensor.cph2581_battery_state	charging	CPH2581 Battery state	enum
sensor.cph2581_charger_type	ac	CPH2581 Charger type	enum
sensor.helium_board_temperature	32.0	helium Board temperature	temperature
sensor.helium_case_fan_1	1327.0	helium Case fan 1	-
sensor.helium_case_fan_2	897.0	helium Case fan 2	-
sensor.helium_containers_bazarr_block_input	105.0	helium Containers bazarr Block Input	data_size
sensor.helium_containers_bazarr_block_input_rate	0.0	helium Containers bazarr Block Input Rate	data_rate
sensor.helium_containers_bazarr_block_output	310.0	helium Containers bazarr Block Output	data_size
sensor.helium_containers_bazarr_block_output_rate	0.0	helium Containers bazarr Block Output Rate	data_rate
sensor.helium_containers_bazarr_cpu	0.16	helium Containers bazarr CPU	-
sensor.helium_containers_bazarr_memory	263.3	helium Containers bazarr Memory	data_size
sensor.helium_containers_bazarr_network_input	19.7	helium Containers bazarr Network Input	data_size
sensor.helium_containers_bazarr_network_input_rate	0.0	helium Containers bazarr Network Input Rate	data_rate
sensor.helium_containers_bazarr_network_output	4.94	helium Containers bazarr Network Output	data_size
sensor.helium_containers_bazarr_network_output_rate	0.0	helium Containers bazarr Network Output Rate	data_rate
sensor.helium_containers_cleanuparr_block_input	398.0	helium Containers cleanuparr Block Input	data_size
sensor.helium_containers_cleanuparr_block_input_rate	0.0	helium Containers cleanuparr Block Input Rate	data_rate
sensor.helium_containers_cleanuparr_block_output	614.0	helium Containers cleanuparr Block Output	data_size
sensor.helium_containers_cleanuparr_block_output_rate	0.0	helium Containers cleanuparr Block Output Rate	data_rate
sensor.helium_containers_cleanuparr_cpu	0.08	helium Containers cleanuparr CPU	-
sensor.helium_containers_cleanuparr_memory	193.1	helium Containers cleanuparr Memory	data_size
sensor.helium_containers_cleanuparr_network_input	14.4	helium Containers cleanuparr Network Input	data_size
sensor.helium_containers_cleanuparr_network_input_rate	0.0	helium Containers cleanuparr Network Input Rate	data_rate
sensor.helium_containers_cleanuparr_network_output	8.18	helium Containers cleanuparr Network Output	data_size
sensor.helium_containers_cleanuparr_network_output_rate	0.0	helium Containers cleanuparr Network Output Rate	data_rate
sensor.helium_containers_docker2mqtt_block_input	0.0	helium Containers docker2mqtt Block Input	data_size
sensor.helium_containers_docker2mqtt_block_input_rate	0.0	helium Containers docker2mqtt Block Input Rate	data_rate
sensor.helium_containers_docker2mqtt_block_output	0.0	helium Containers docker2mqtt Block Output	data_size
sensor.helium_containers_docker2mqtt_block_output_rate	0.0	helium Containers docker2mqtt Block Output Rate	data_rate
sensor.helium_containers_docker2mqtt_cpu	4.07	helium Containers docker2mqtt CPU	-
sensor.helium_containers_docker2mqtt_memory	51.17	helium Containers docker2mqtt Memory	data_size
sensor.helium_containers_docker2mqtt_network_input	7956.48	helium Containers docker2mqtt Network Input	data_size
sensor.helium_containers_docker2mqtt_network_input_rate	0.3357192348565145	helium Containers docker2mqtt Network Input Rate	data_rate
sensor.helium_containers_docker2mqtt_network_output	495.0	helium Containers docker2mqtt Network Output	data_size
sensor.helium_containers_docker2mqtt_network_output_rate	0.0	helium Containers docker2mqtt Network Output Rate	data_rate
sensor.helium_containers_docker_socket_proxy_block_input	18.4	helium Containers docker-socket-proxy Block Input	data_size
sensor.helium_containers_docker_socket_proxy_block_input_rate	0.0	helium Containers docker-socket-proxy Block Input Rate	data_rate
sensor.helium_containers_docker_socket_proxy_block_output	11.1	helium Containers docker-socket-proxy Block Output	data_size
sensor.helium_containers_docker_socket_proxy_block_output_rate	0.0	helium Containers docker-socket-proxy Block Output Rate	data_rate
sensor.helium_containers_docker_socket_proxy_cpu	0.44	helium Containers docker-socket-proxy CPU	-
sensor.helium_containers_docker_socket_proxy_memory	8.5	helium Containers docker-socket-proxy Memory	data_size
sensor.helium_containers_docker_socket_proxy_network_input	560.0	helium Containers docker-socket-proxy Network Input	data_size
sensor.helium_containers_docker_socket_proxy_network_input_rate	0.0	helium Containers docker-socket-proxy Network Input Rate	data_rate
sensor.helium_containers_docker_socket_proxy_network_output	10752.0	helium Containers docker-socket-proxy Network Output	data_size
sensor.helium_containers_docker_socket_proxy_network_output_rate	0.0	helium Containers docker-socket-proxy Network Output Rate	data_rate
sensor.helium_containers_flaresolverr_block_input	17.5	helium Containers flaresolverr Block Input	data_size
sensor.helium_containers_flaresolverr_block_input_rate	0.0	helium Containers flaresolverr Block Input Rate	data_rate
sensor.helium_containers_flaresolverr_block_output	10.4	helium Containers flaresolverr Block Output	data_size
sensor.helium_containers_flaresolverr_block_output_rate	0.0	helium Containers flaresolverr Block Output Rate	data_rate
sensor.helium_containers_flaresolverr_cpu	0.01	helium Containers flaresolverr CPU	-
sensor.helium_containers_flaresolverr_memory	123.9	helium Containers flaresolverr Memory	data_size
sensor.helium_containers_flaresolverr_network_input	113.0	helium Containers flaresolverr Network Input	data_size
sensor.helium_containers_flaresolverr_network_input_rate	0.0	helium Containers flaresolverr Network Input Rate	data_rate
sensor.helium_containers_flaresolverr_network_output	250.0	helium Containers flaresolverr Network Output	data_size
sensor.helium_containers_flaresolverr_network_output_rate	0.03331839114551761	helium Containers flaresolverr Network Output Rate	data_rate
sensor.helium_containers_gluetun_block_input	3.01	helium Containers gluetun Block Input	data_size
sensor.helium_containers_gluetun_block_input_rate	0.0	helium Containers gluetun Block Input Rate	data_rate
sensor.helium_containers_gluetun_block_output	0.016015625	helium Containers gluetun Block Output	data_size
sensor.helium_containers_gluetun_block_output_rate	0.0	helium Containers gluetun Block Output Rate	data_rate
sensor.helium_containers_gluetun_cpu	0.0	helium Containers gluetun CPU	-
sensor.helium_containers_gluetun_memory	78.5	helium Containers gluetun Memory	data_size
sensor.helium_containers_gluetun_network_input	113.0	helium Containers gluetun Network Input	data_size
sensor.helium_containers_gluetun_network_input_rate	0.0	helium Containers gluetun Network Input Rate	data_rate
sensor.helium_containers_gluetun_network_output	250.0	helium Containers gluetun Network Output	data_size
sensor.helium_containers_gluetun_network_output_rate	0.0	helium Containers gluetun Network Output Rate	data_rate
sensor.helium_containers_homepage_block_input	90.2	helium Containers homepage Block Input	data_size
sensor.helium_containers_homepage_block_input_rate	0.0	helium Containers homepage Block Input Rate	data_rate
sensor.helium_containers_homepage_block_output	0.0	helium Containers homepage Block Output	data_size
sensor.helium_containers_homepage_block_output_rate	0.0	helium Containers homepage Block Output Rate	data_rate
sensor.helium_containers_homepage_cpu	7.24	helium Containers homepage CPU	-
sensor.helium_containers_homepage_memory	178.7	helium Containers homepage Memory	data_size
sensor.helium_containers_homepage_network_input	12.7	helium Containers homepage Network Input	data_size
sensor.helium_containers_homepage_network_input_rate	0.0	helium Containers homepage Network Input Rate	data_rate
sensor.helium_containers_homepage_network_output	1.08	helium Containers homepage Network Output	data_size
sensor.helium_containers_homepage_network_output_rate	0.0	helium Containers homepage Network Output Rate	data_rate
sensor.helium_containers_immich_machine_learning_block_input	1167.36	helium Containers immich_machine_learning Block Input	data_size
sensor.helium_containers_immich_machine_learning_block_input_rate	0.0	helium Containers immich_machine_learning Block Input Rate	data_rate
sensor.helium_containers_immich_machine_learning_block_output	235.0	helium Containers immich_machine_learning Block Output	data_size
sensor.helium_containers_immich_machine_learning_block_output_rate	0.0	helium Containers immich_machine_learning Block Output Rate	data_rate
sensor.helium_containers_immich_machine_learning_cpu	0.2	helium Containers immich_machine_learning CPU	-
sensor.helium_containers_immich_machine_learning_memory	430.0	helium Containers immich_machine_learning Memory	data_size
sensor.helium_containers_immich_machine_learning_network_input	31.0	helium Containers immich_machine_learning Network Input	data_size
sensor.helium_containers_immich_machine_learning_network_input_rate	0.0	helium Containers immich_machine_learning Network Input Rate	data_rate
sensor.helium_containers_immich_machine_learning_network_output	13.1	helium Containers immich_machine_learning Network Output	data_size
sensor.helium_containers_immich_machine_learning_network_output_rate	0.0	helium Containers immich_machine_learning Network Output Rate	data_rate
sensor.helium_containers_immich_postgres_block_input	264.0	helium Containers immich_postgres Block Input	data_size
sensor.helium_containers_immich_postgres_block_input_rate	0.0	helium Containers immich_postgres Block Input Rate	data_rate
sensor.helium_containers_immich_postgres_block_output	2191.36	helium Containers immich_postgres Block Output	data_size
sensor.helium_containers_immich_postgres_block_output_rate	0.0	helium Containers immich_postgres Block Output Rate	data_rate
sensor.helium_containers_immich_postgres_cpu	0.0	helium Containers immich_postgres CPU	-
sensor.helium_containers_immich_postgres_memory	125.9	helium Containers immich_postgres Memory	data_size
sensor.helium_containers_immich_postgres_network_input	30.9	helium Containers immich_postgres Network Input	data_size
sensor.helium_containers_immich_postgres_network_input_rate	0.0	helium Containers immich_postgres Network Input Rate	data_rate
sensor.helium_containers_immich_postgres_network_output	527.0	helium Containers immich_postgres Network Output	data_size
sensor.helium_containers_immich_postgres_network_output_rate	0.0	helium Containers immich_postgres Network Output Rate	data_rate
sensor.helium_containers_immich_redis_block_input	48.3	helium Containers immich_redis Block Input	data_size
sensor.helium_containers_immich_redis_block_input_rate	0.0	helium Containers immich_redis Block Input Rate	data_rate
sensor.helium_containers_immich_redis_block_output	910.0	helium Containers immich_redis Block Output	data_size
sensor.helium_containers_immich_redis_block_output_rate	0.0	helium Containers immich_redis Block Output Rate	data_rate
sensor.helium_containers_immich_redis_cpu	0.54	helium Containers immich_redis CPU	-
sensor.helium_containers_immich_redis_memory	14.61	helium Containers immich_redis Memory	data_size
sensor.helium_containers_immich_redis_network_input	1638.4	helium Containers immich_redis Network Input	data_size
sensor.helium_containers_immich_redis_network_input_rate	0.0	helium Containers immich_redis Network Input Rate	data_rate
sensor.helium_containers_immich_redis_network_output	790.0	helium Containers immich_redis Network Output	data_size
sensor.helium_containers_immich_redis_network_output_rate	0.0	helium Containers immich_redis Network Output Rate	data_rate
sensor.helium_containers_immich_server_block_input	117760.0	helium Containers immich_server Block Input	data_size
sensor.helium_containers_immich_server_block_input_rate	0.0	helium Containers immich_server Block Input Rate	data_rate
sensor.helium_containers_immich_server_block_output	24576.0	helium Containers immich_server Block Output	data_size
sensor.helium_containers_immich_server_block_output_rate	0.0	helium Containers immich_server Block Output Rate	data_rate
sensor.helium_containers_immich_server_cpu	0.73	helium Containers immich_server CPU	-
sensor.helium_containers_immich_server_memory	943.9	helium Containers immich_server Memory	data_size
sensor.helium_containers_immich_server_network_input	18432.0	helium Containers immich_server Network Input	data_size
sensor.helium_containers_immich_server_network_input_rate	0.0	helium Containers immich_server Network Input Rate	data_rate
sensor.helium_containers_immich_server_network_output	1761.28	helium Containers immich_server Network Output	data_size
sensor.helium_containers_immich_server_network_output_rate	0.0	helium Containers immich_server Network Output Rate	data_rate
sensor.helium_containers_jellyfin_block_input	140.0	helium Containers jellyfin Block Input	data_size
sensor.helium_containers_jellyfin_block_input_rate	0.0	helium Containers jellyfin Block Input Rate	data_rate
sensor.helium_containers_jellyfin_block_output	207.0	helium Containers jellyfin Block Output	data_size
sensor.helium_containers_jellyfin_block_output_rate	0.0	helium Containers jellyfin Block Output Rate	data_rate
sensor.helium_containers_jellyfin_cpu	0.01	helium Containers jellyfin CPU	-
sensor.helium_containers_jellyfin_memory	418.4	helium Containers jellyfin Memory	data_size
sensor.helium_containers_jellyfin_network_input	12.9	helium Containers jellyfin Network Input	data_size
sensor.helium_containers_jellyfin_network_input_rate	0.0	helium Containers jellyfin Network Input Rate	data_rate
sensor.helium_containers_jellyfin_network_output	69.0	helium Containers jellyfin Network Output	data_size
sensor.helium_containers_jellyfin_network_output_rate	0.0	helium Containers jellyfin Network Output Rate	data_rate
sensor.helium_containers_jellyseerr_block_input	256.0	helium Containers jellyseerr Block Input	data_size
sensor.helium_containers_jellyseerr_block_input_rate	0.0	helium Containers jellyseerr Block Input Rate	data_rate
sensor.helium_containers_jellyseerr_block_output	223.0	helium Containers jellyseerr Block Output	data_size
sensor.helium_containers_jellyseerr_block_output_rate	0.0	helium Containers jellyseerr Block Output Rate	data_rate
sensor.helium_containers_jellyseerr_cpu	0.0	helium Containers jellyseerr CPU	-
sensor.helium_containers_jellyseerr_memory	176.4	helium Containers jellyseerr Memory	data_size
sensor.helium_containers_jellyseerr_network_input	484.0	helium Containers jellyseerr Network Input	data_size
